Date,Open,High,Low,Close,Volume
2023-01-02T22:00:00Z,1823.79,1832.545,1823.79,1828.57,11651.0
2023-01-03T02:00:00Z,1828.57,1843.22,1828.36,1840.51,13420.0
2023-01-03T06:00:00Z,1840.51,1849.99,1834.63,1838.905,25799.0
2023-01-03T10:00:00Z,1838.905,1841.12,1830.905,1838.96,16498.0
2023-01-03T14:00:00Z,1838.96,1849.89,1827.645,1839.355,26909.0
2023-01-03T18:00:00Z,1839.355,1840.28,1836.57,1839.7,6493.0
2023-01-03T22:00:00Z,1839.7,1844.585,1836.24,1844.385,6403.0
2023-01-04T02:00:00Z,1844.385,1847.215,1843.49,1846.43,8117.0
2023-01-04T06:00:00Z,1846.43,1865.215,1845.83,1860.605,14997.0
2023-01-04T10:00:00Z,1860.605,1862.9,1852.885,1860.12,10862.0
2023-01-04T14:00:00Z,1860.12,1860.91,1849.095,1850.575,22646.0
2023-01-04T18:00:00Z,1850.575,1857.245,1847.15,1854.65,13208.0
2023-01-04T22:00:00Z,1854.65,1858.995,1854.045,1858.91,5931.0
2023-01-05T02:00:00Z,1858.91,1858.91,1850.405,1852.675,6493.0
2023-01-05T06:00:00Z,1852.675,1855.75,1843.89,1848.575,12919.0
2023-01-05T10:00:00Z,1848.575,1851.405,1833.09,1834.835,18188.0
2023-01-05T14:00:00Z,1834.835,1837.925,1825.13,1833.99,17611.0
2023-01-05T18:00:00Z,1833.99,1837.47,1831.97,1832.7,5694.0
2023-01-05T22:00:00Z,1832.7,1836.205,1831.42,1835.52,4465.0
2023-01-06T02:00:00Z,1835.52,1840.915,1835.52,1837.145,7034.0
2023-01-06T06:00:00Z,1837.145,1840.685,1833.32,1835.55,9290.0
2023-01-06T10:00:00Z,1835.55,1852.595,1834.145,1851.84,21169.0
2023-01-06T14:00:00Z,1851.84,1865.01,1840.745,1862.46,26917.0
2023-01-06T18:00:00Z,1862.46,1869.92,1861.835,1866.11,8258.0
2023-01-08T22:00:00Z,1866.11,1875.335,1866.11,1874.475,9644.0
2023-01-09T02:00:00Z,1874.475,1879.545,1874.305,1878.055,9109.0
2023-01-09T06:00:00Z,1878.055,1881.02,1871.335,1873.68,12413.0
2023-01-09T10:00:00Z,1873.68,1878.505,1870.56,1878.23,9506.0
2023-01-09T14:00:00Z,1878.23,1881.55,1869.11,1871.905,13948.0
2023-01-09T18:00:00Z,1871.905,1875.755,1869.275,1871.705,5901.0
2023-01-09T22:00:00Z,1871.705,1876.13,1867.93,1874.485,6090.0
2023-01-10T02:00:00Z,1874.485,1875.68,1870.79,1874.13,7149.0
2023-01-10T06:00:00Z,1874.13,1877.33,1870.67,1876.89,10488.0
2023-01-10T10:00:00Z,1876.89,1877.19,1870.475,1873.425,11600.0
2023-01-10T14:00:00Z,1873.425,1880.795,1871.29,1874.355,18243.0
2023-01-10T18:00:00Z,1874.355,1878.725,1872.045,1876.99,6713.0
2023-01-10T22:00:00Z,1876.99,1878.5,1872.07,1873.11,5267.0
2023-01-11T02:00:00Z,1873.11,1884.68,1872.37,1882.325,7812.0
2023-01-11T06:00:00Z,1882.325,1886.695,1880.395,1884.685,15603.0
2023-01-11T10:00:00Z,1884.685,1886.1,1875.82,1877.675,13081.0
2023-01-11T14:00:00Z,1877.675,1879.185,1867.22,1873.85,18132.0
2023-01-11T18:00:00Z,1873.85,1878.535,1873.21,1875.965,6064.0
2023-01-11T22:00:00Z,1875.965,1881.165,1874.965,1880.585,6022.0
2023-01-12T02:00:00Z,1880.585,1885.09,1880.285,1883.72,6655.0
2023-01-12T06:00:00Z,1883.72,1885.475,1879.945,1884.405,9040.0
2023-01-12T10:00:00Z,1884.405,1901.705,1870.3,1899.685,23397.0
2023-01-12T14:00:00Z,1899.685,1901.395,1879.935,1897.79,31088.0
2023-01-12T18:00:00Z,1897.79,1899.66,1894.175,1896.785,10086.0
2023-01-12T22:00:00Z,1896.785,1900.98,1895.845,1898.84,7841.0
2023-01-13T02:00:00Z,1898.84,1899.965,1892.395,1893.705,6627.0
2023-01-13T06:00:00Z,1893.705,1909.735,1893.565,1904.38,14269.0
2023-01-13T10:00:00Z,1904.38,1907.025,1893.77,1900.09,14812.0
2023-01-13T14:00:00Z,1900.09,1917.835,1899.18,1916.925,16529.0
2023-01-13T18:00:00Z,1916.925,1921.91,1916.775,1920.315,5997.0
2023-01-15T22:00:00Z,1920.315,1924.62,1916.84,1924.26,7931.0
2023-01-16T02:00:00Z,1924.26,1929.06,1916.965,1919.59,7704.0
2023-01-16T06:00:00Z,1919.59,1920.89,1910.915,1917.64,9946.0
2023-01-16T10:00:00Z,1917.64,1919.39,1911.46,1913.425,9415.0
2023-01-16T14:00:00Z,1913.425,1917.14,1912.61,1913.935,6574.0
2023-01-16T18:00:00Z,1913.935,1916.01,1913.935,1916.01,810.0
2023-01-16T22:00:00Z,1916.01,1919.095,1912.97,1913.16,4589.0
2023-01-17T02:00:00Z,1913.16,1916.33,1908.195,1911.125,7505.0
2023-01-17T06:00:00Z,1911.125,1912.02,1905.92,1906.625,10477.0
2023-01-17T10:00:00Z,1906.625,1914.475,1904.325,1913.015,11809.0
2023-01-17T14:00:00Z,1913.015,1916.67,1905.26,1907.225,16242.0
2023-01-17T18:00:00Z,1907.225,1910.895,1903.81,1908.71,8347.0
2023-01-17T22:00:00Z,1908.71,1909.185,1906.39,1908.8,3856.0
2023-01-18T02:00:00Z,1908.8,1910.365,1896.675,1898.04,16096.0
2023-01-18T06:00:00Z,1898.04,1916.005,1897.895,1914.85,16460.0
2023-01-18T10:00:00Z,1914.85,1924.41,1911.285,1921.45,13133.0
2023-01-18T14:00:00Z,1921.45,1925.945,1901.655,1905.355,24247.0
