Metode,TF,Order,Direction,SL,TP,Total Entry,WR,PF Net,Net Profit,EV/Trade,Avg Win/Loss,Max DD,Recovery Factor,Max Consecutive Loss,SQN,OOS PF,Monte Carlo Pass,MC 95% DD,Positive Year,Worst Year,Periode Backtest,History,Sample v11,Corr Max,Corr Gate,Python Script,MT5 Script
ND_ALL_KELTNER_BO_f21s55_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,571,36.60245183887916,1.0505130228887132,3891.199999999999,6.814711033274954,$387.20 / -$212.80,45.73329853862213,0.6938659058487873,12,0.5634078953109268,1.29691249400096,FAIL,103.6727702598958,58.333333333333336,2016,2003 – 2026,23.315423226100844,571/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_KELTNER_BO_f21s55_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
ND_ALL_SUPERT_PROXY_f5s13_GOLD_H1_SL0.015_TP3.0,H1,PENDING,BOTH,0.015,3.0,1009,29.038652130822598,1.0698828835115402,11074.666670030023,10.975883716580796,$578.67 / -$221.33,33.488846764255285,1.808010449214906,14,0.9600546121003125,1.107022685358987,FAIL,135.40235446135614,54.166666666666664,2004,2003 – 2026,23.315423226100844,1009/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_SUPERT_PROXY_f5s13_GOLD_H1_SL0.015_TP3.0.py,NOT PRESENT
ND_ALL_T3_TREND_f5s13_GOLD_H1_SL0.02_TP3.0,H1,PENDING,BOTH,0.02,3.0,603,27.03150912106136,1.0015993265993266,152.0,0.25207296849087896,$584.00 / -$216.00,75.96371882086169,0.01890547263681592,12,0.017421763607152158,1.2632058287795993,FAIL,154.09127302476162,41.666666666666664,2007,2003 – 2026,23.315423226100844,603/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_T3_TREND_f5s13_GOLD_H1_SL0.02_TP3.0.py,NOT PRESENT
ND_MTF_CCI_REV_f13s34_GOLD_H1_SL0.025_TP2.5,H1,PENDING,BOTH,0.025,2.5,498,25.70281124497992,0.7920341394025603,-16374.400000000005,-32.880321285140575,$487.20 / -$212.80,169.69040247677984,-0.9335887611749702,14,-2.3987013513509714,0.6514762516046212,FAIL,276.2020583416412,33.333333333333336,2006,2003 – 2026,23.315423226100844,498/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_MTF_CCI_REV_f13s34_GOLD_H1_SL0.025_TP2.5.py,NOT PRESENT
ND_VM_OBV_CROSS_f13s34_GOLD_H1_SL0.02_TP2.5,H1,PENDING,BOTH,0.02,2.5,706,31.444759206798867,1.0277777777777777,2904.0,4.113314447592068,$484.00 / -$216.00,69.18703808982376,0.2982744453574363,10,0.336280554212928,1.241025641025641,FAIL,139.4196376659922,54.166666666666664,2009,2003 – 2026,23.315423226100844,706/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_VM_OBV_CROSS_f13s34_GOLD_H1_SL0.02_TP2.5.py,NOT PRESENT
ND_VM_OBV_CROSS_f13s34_GOLD_H1_SL0.02_TP3.0,H1,PENDING,BOTH,0.02,3.0,610,27.049180327868854,1.0024968789013733,240.0,0.39344262295081966,$584.00 / -$216.00,69.6989966555184,0.028790786948176585,12,0.027344135321230787,1.1816186556927297,FAIL,155.32381179016605,54.166666666666664,2007,2003 – 2026,23.315423226100844,610/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_VM_OBV_CROSS_f13s34_GOLD_H1_SL0.02_TP3.0.py,NOT PRESENT
ND_VM_RSI_MA_f21s55_GOLD_H1_SL0.03_TP2.0,H1,PENDING,BOTH,0.03,2.0,442,29.638009049773757,0.7784606617906152,-14514.666668140006,-32.83861237135748,$389.33 / -$210.67,149.77660973845266,-0.9550798385748271,12,-2.51971318527786,0.6160337552592401,FAIL,239.9009286170627,29.166666666666668,2025,2003 – 2026,23.315423226100844,442/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_VM_RSI_MA_f21s55_GOLD_H1_SL0.03_TP2.0.py,NOT PRESENT
ND_VM_STDDEV_BO_f8s21_GOLD_H1_SL0.025_TP2.5,H1,PENDING,BOTH,0.025,2.5,469,30.916844349680172,1.0246101364522415,1696.7999999999965,3.6179104477611865,$487.20 / -$212.80,68.71165644171815,0.22816265060240798,13,0.24219352636798352,1.4676113360323892,FAIL,122.87658446674634,45.833333333333336,2006,2003 – 2026,23.315423226100844,469/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_VM_STDDEV_BO_f8s21_GOLD_H1_SL0.025_TP2.5.py,NOT PRESENT
ND_ALL_OBV_CROSS_f8s21_GOLD_H1_SL0.02_TP2.5,H1,PENDING,BOTH,0.02,2.5,739,31.66441136671177,1.0382838283828384,4176.0,5.650879566982408,$484.00 / -$216.00,53.63636363636364,0.5708037178786222,10,0.47177079397649196,1.188043748446433,FAIL,134.22711352428587,50.0,2010,2003 – 2026,23.315423226100844,739/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_OBV_CROSS_f8s21_GOLD_H1_SL0.02_TP2.5.py,NOT PRESENT
ND_ALL_SUPERT_PROXY_f13s34_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,559,36.135957066189626,1.0295486615698906,2244.799999999995,4.015742397137737,$387.20 / -$212.80,36.28834355828221,0.5929839391377841,14,0.3293991805716695,1.1578947368421053,FAIL,111.74858151945959,58.333333333333336,2006,2003 – 2026,23.315423226100844,559/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_SUPERT_PROXY_f13s34_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
ND_ALL_TRIX_ZERO_f3s8_GOLD_H1_SL0.02_TP3.0,H1,PENDING,BOTH,0.02,3.0,585,28.376068376068375,1.0711570759303457,6440.0,11.008547008547009,$584.00 / -$216.00,58.69853917662683,0.9106334841628959,15,0.7382658129418581,1.3289391086001257,FAIL,114.58007695159205,50.0,2014,2003 – 2026,23.315423226100844,585/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_ALL_TRIX_ZERO_f3s8_GOLD_H1_SL0.02_TP3.0.py,NOT PRESENT
ND_MTF_KELTNER_BO_f13s34_GOLD_H1_SL0.025_TP2.5,H1,PENDING,BOTH,0.025,2.5,488,30.737704918032787,1.016038617253192,1153.599999999999,2.3639344262295063,$487.20 / -$212.80,66.70693242064296,0.14507042253521102,13,0.16168254575425842,1.3376700177409817,FAIL,118.48243667903986,41.666666666666664,2016,2003 – 2026,23.315423226100844,488/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_MTF_KELTNER_BO_f13s34_GOLD_H1_SL0.025_TP2.5.py,NOT PRESENT
ND_VM_CCI_REV_f5s13_GOLD_H1_SL0.025_TP2.5,H1,PENDING,BOTH,0.025,2.5,498,25.903614457831324,0.8003851091142488,-15674.4,-31.47469879518072,$487.20 / -$212.80,154.8993808049532,-0.9790136411332655,12,-2.290337683009241,0.6462224108658743,FAIL,266.1838812908364,37.5,2025,2003 – 2026,23.315423226100844,498/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_VM_CCI_REV_f5s13_GOLD_H1_SL0.025_TP2.5.py,NOT PRESENT
ND_VM_MOMENTUM_XO_f21s55_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,573,37.521815008726,1.0927458310580918,7065.5999999999985,12.330890052356018,$387.20 / -$212.80,35.25356967011323,1.5418994413407825,12,1.0160483260954734,1.3796579360489134,FAIL,79.91867493712444,50.0,2012,2003 – 2026,23.315423226100844,573/300 PASS,,BASE_FAIL,strategies/scripts/python/GOLD/ND_VM_MOMENTUM_XO_f21s55_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
