strict_rank,source_rank,config_hash,method,family,timeframe,entry_method,direction_mode,sl_usd,tp_usd,trades,standard_lot_win_rate_pct,standard_lot_profit_factor_same_cost_model,standard_lot_net_profit_usd_same_cost_model,standard_lot_ev_per_trade_usd_same_cost_model,standard_lot_max_dd_pct_starting_equity_10000,standard_lot_sqn_same_cost_model,history_years,v11_sample_pass,correlation_max,correlation_gate,status
1,48,13f689142dff69d33b2c6b33c3652aec484046d059d64636e4639f2d4a5bd295,DONCHIAN f3/s89 p1=66.0 p2=55.0 p3=1.0 off=3.0 exp=4,DONCHIAN,D1,LIMIT,BOTH,23.0,23.5,127,67.71653543307086,1.37233128481679,43692.940000000024,344.03889763779546,34.70000125069698,1.7267246203918705,25.842573579739906,False,0.0,PASS,PASS ENTRY>=100 + NP>=USD20000 + CORR<=0.50; NOT V11 TIER1 QUALIFIED
2,28,7c00212eb6bd65ad07e432d4a261d3f3240478d4d4698cf57e99c549684b61cb,CANDLE_ENGULFING f34/s144 p1=66.0 p2=58.0 p3=1.0 off=2.75 exp=8,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,23.5,23.5,148,65.54054054054055,1.2641504115793922,38273.57900000003,258.6052635135137,44.68204235724034,1.3824758652323004,25.842573579739906,False,0.1456444578560378,PASS,PASS ENTRY>=100 + NP>=USD20000 + CORR<=0.50; NOT V11 TIER1 QUALIFIED
3,49,860c7a7defb867ad594b594e41f4a5157b3dc4262a1b1bd69c978298130ac57c,DONCHIAN f3/s100 p1=55.0 p2=58.0 p3=1.0 off=1.0 exp=7,DONCHIAN,D1,LIMIT,BOTH,22.0,23.0,126,65.07936507936508,1.2249578259285974,27572.409,218.82864285714285,41.484508709379774,1.0999765389846419,25.842573579739906,False,0.32284137753298675,PASS,PASS ENTRY>=100 + NP>=USD20000 + CORR<=0.50; NOT V11 TIER1 QUALIFIED
