rank,origin,config_hash,method,family,timeframe,entry_method,direction_mode,sl_pips,tp_pips,total_entry,standard_lot_win_rate_pct,standard_lot_profit_factor_same_cost_model,standard_lot_net_profit_usd_same_cost_model,standard_lot_ev_per_trade_usd_same_cost_model,avg_win_loss_ratio,standard_lot_max_dd_pct_starting_equity_10000,recovery_factor,max_consecutive_loss,standard_lot_sqn_same_cost_model,oos_profit_factor,monte_carlo_pass,mc_95pct_max_drawdown_pct,positive_years_pct,worst_year,worst_year_net_profit_usd,backtest_start_utc,backtest_end_utc,history_years,sample_v11,correlation_max,correlation_gate,tier_v1
60,DISCOVERY_PREVIOUS,b4799e6fd3d3fcc8b2d99c2b7a42b704cb39a2546454971eeb8594b78a1562e1,DONCHIAN f3/s34 p1=62.0 p2=52.0 p3=1.0 off=1.0 exp=5,DONCHIAN,D1,LIMIT,LONG_ONLY,2500.0,2500.0,133,66.9172932330827,1.2985792833405456,40994.726000000024,308.23102255639117,0.6419942524380226,34.34514833467009,1.5367532967224131,3,1.4537892449342082,0.6020544639857763,False,214.84878358218558,59.25925925925926,2026,-9905.279999999999,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,133/300 FAIL,0.47845422048891734,PASS,LIBRARY
61,DISCOVERY_PREVIOUS,fb4f54aa1baba0f0281ac4e9c345acbe5f880d0268214759820470ba2f7d939e,ROLLING_ZSCORE f20/s89 p1=2.1 p2=55.0 p3=1.0 off=0.75 exp=8,ROLLING_ZSCORE,D1,LIMIT,LONG_ONLY,1750.0,2500.0,101,59.40594059405941,1.2928683614836611,27688.84649999999,274.1469950495048,0.8834600470138352,33.71995676945754,1.4440684906044539,3,1.2743763715539944,0.5964275845977196,False,190.4409034968082,40.74074074074074,2025,-6709.488,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,101/300 FAIL,0.4692049791662204,PASS,LIBRARY
62,DISCOVERY_PREVIOUS,51ecdce7cf20c9e7917438e5463abfc44a7037eed9ca7ed065ee3c1cbff89848,KELTNER_SQUEEZE f50/s89 p1=0.9 p2=1.0 p3=1.0 off=1.5 exp=8,KELTNER_SQUEEZE,D1,LIMIT,LONG_ONLY,2350.0,1800.0,100,75.0,1.2882010783261433,20978.381,209.78381000000002,0.4294003594420478,44.62268910975672,1.950812392873722,2,1.136540200915414,0.8319429698164738,False,183.28283441075013,44.44444444444444,2012,-7949.92,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,100/300 FAIL,0.20962350101021873,PASS,LIBRARY
63,DISCOVERY_PREVIOUS,9d86284ed4adfc90e529ced3529d332621682df137ba3f2c0931868ea35a98bd,CHART_PATTERN f5/s10 p1=0.5 p2=55.0 p3=1.0 off=2.0 exp=3,CHART_PATTERN,D1,LIMIT,LONG_ONLY,2150.0,2150.0,110,67.27272727272727,1.2879041443088632,28060.051999999992,255.09138181818176,0.6265479620962037,35.92962722078516,1.4938603836200797,3,1.2783787228651473,0.7898269235376459,False,192.58766986651307,55.55555555555556,2011,-6470.88,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,110/300 FAIL,0.48838090465746636,PASS,LIBRARY
64,DISCOVERY,bfda9142b51a0b890f97b3ba56d1944bb79cec49e2177ad7e54ce110edd1304b,SUPPORT_RESISTANCE f3/s26 p1=1.0 p2=55.0 p3=1.0 off=1.75 exp=11,SUPPORT_RESISTANCE,D1,LIMIT,LONG_ONLY,2000.0,2150.0,162,64.81481481481481,1.2840021556577141,40514.41300000001,250.08896913580253,0.6970297416427591,29.15771392687177,1.948647734793449,5,1.551978452659322,0.6341975946575674,False,189.2237858397973,59.25925925925926,2026,-8732.128,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,162/300 FAIL,0.49808306100047467,PASS,LIBRARY
65,DISCOVERY_PREVIOUS,ebeb33e554f0360ce51bb9dbc6388a4fadd50fc52f57580a16e871e893ab8ba5,BOLLINGER_REVERSION_V2 f5/s21 p1=1.5 p2=40.0 p3=1.0 off=1.0 exp=12,BOLLINGER_REVERSION_V2,D1,STOP,LONG_ONLY,2350.0,2500.0,115,63.47826086956522,1.2724493100729695,32944.95500000001,286.4778695652175,0.7320941236036262,46.05747432567316,1.2122726760246614,4,1.2672012633269032,0.658943378300049,False,215.9847841133736,55.55555555555556,2012,-10442.688,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,115/300 FAIL,0.2816456131537593,PASS,LIBRARY
66,DISCOVERY_PREVIOUS,7d89deccb818740bd8cd11a8913439bdc20512c04fa326faa90e5ba93309f9fc,DONCHIAN f3/s100 p1=55.0 p2=58.0 p3=1.0 off=3.25 exp=9,DONCHIAN,D1,LIMIT,BOTH,2050.0,2350.0,124,63.70967741935484,1.263432739705825,30907.698500000013,249.25563306451625,0.7196768770476218,36.29386689848074,1.341640221088909,4,1.2676910288252081,0.7349752302076897,False,213.9856702899577,51.851851851851855,2025,-11977.488000000001,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,124/300 FAIL,0.36686831018389876,PASS,LIBRARY
67,DISCOVERY_PREVIOUS,30089110db75e701c01f4af7b023f107750fa74259b28347c0abee273102f94d,VOLATILITY f3/s8 p1=1.2 p2=55.0 p3=1.0 off=1.5 exp=11,VOLATILITY,D1,LIMIT,LONG_ONLY,2450.0,2450.0,140,65.71428571428571,1.2447105959167717,35500.94800000008,253.57820000000055,0.6494142239565766,41.29117899796043,1.4551458156534451,3,1.2529869156564346,0.9212244701870369,False,240.19908214370378,55.55555555555556,2015,-14331.168,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,140/300 FAIL,0.49211990863911953,PASS,LIBRARY
68,DISCOVERY_PREVIOUS,fc4e20ce0babcd2a343f39428f8f31ab9672782666835ef0f21fb9a9244f5463,ATR_BREAKOUT f3/s13 p1=2.2 p2=55.0 p3=1.0 off=4.75 exp=5,ATR_BREAKOUT,D1,LIMIT,LONG_ONLY,2450.0,2450.0,110,66.36363636363636,1.2401596040708467,27544.49050000008,250.40445909090982,0.6285740458989222,46.07986286256217,1.2381273549352743,4,1.081808812763872,0.8043807116129548,False,237.77916439380263,44.44444444444444,2025,-7881.551999999964,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,110/300 FAIL,0.22027889084799473,PASS,LIBRARY
69,DISCOVERY_PREVIOUS,8d5841e06d54fc4d702e00d0b8b5e407d2ed2ab351fd56470968fd6bb526ffa2,TREND_EMA f55/s144 p1=66.0 p2=52.0 p3=1.0 off=5.0 exp=9,TREND_EMA,D1,LIMIT,LONG_ONLY,2350.0,2500.0,108,63.888888888888886,1.2360586857835372,27814.176000000058,257.5386666666672,0.6986418658776514,35.40745960815306,1.368771229746612,3,1.0330658102832362,0.9349290788342602,False,253.40662281012055,44.44444444444444,2017,-5534.272,2000-10-23 00:00:00+00:00,2026-08-27 00:00:00+00:00,25.842573579739906,108/300 FAIL,0.2420222678521189,PASS,LIBRARY
