Metode,TF,Order,Direction,SL,TP,Total Entry,WR,PF Net,Net Profit,EV/Trade,Avg Win/Loss,Max DD,Recovery Factor,Max Consecutive Loss,SQN,OOS PF,Monte Carlo Pass,MC 95% DD,Positive Year,Worst Year,Periode Backtest,History,Sample v11,Corr Max,Corr Gate,Python Script,MT5 Script
ND_ALL_T3_TREND_f5s13_GOLD_H1_SL0.025_TP2.5,H1,PENDING,BOTH,0.025,2.5,460,31.304347826086957,1.0433044636908728,2911.9999999999955,6.330434782608686,2.2894736842105265,68.7812059915505,0.4233714657980442,17,0.4182610844195316,1.4676113360323892,FAIL,,50.0,2017,2003-05-05 – 2026-08-27,23.315423226100844,460/300 PASS,,BASE FAIL,strategies/scripts/python/GOLD/ND_ALL_T3_TREND_f5s13_GOLD_H1_SL0.025_TP2.5.py,NOT PRESENT
ND_ALL_TRIX_ZERO_f3s8_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,572,36.36363636363637,1.039742212674543,3078.3999999999996,5.381818181818181,1.8195488721804502,42.52937884723008,0.7238290526315775,11,0.445953375027494,0.9545174411438428,FAIL,,62.5,2020,2003-05-05 – 2026-08-27,23.315423226100844,572/300 PASS,,BASE FAIL,strategies/scripts/python/GOLD/ND_ALL_TRIX_ZERO_f3s8_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
ND_MTF_PIVOT_BO_f21s55_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,587,35.604770017035776,1.00604686318972,486.3999999999978,0.8286201022146471,1.8195488721804505,62.81442146450548,0.07743444716351447,11,0.06987829881125025,1.230361618331543,FAIL,,37.5,2014,2003-05-05 – 2026-08-27,23.315423226100844,587/300 PASS,,BASE FAIL,strategies/scripts/python/GOLD/ND_MTF_PIVOT_BO_f21s55_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
ND_VM_MACD_HIST_f21s55_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,576,34.895833333333336,0.9752781954887216,-1972.800000000003,-3.425000000000005,1.8195488721804507,76.12800000000081,-0.25914249684741253,12,-0.2874282085056656,1.1951938670204925,FAIL,,41.666666666666664,2006,2003-05-05 – 2026-08-27,23.315423226100844,576/300 PASS,,BASE FAIL,strategies/scripts/python/GOLD/ND_VM_MACD_HIST_f21s55_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
ND_ALL_CORREL_REV_f3s8_GOLD_H1_SL0.03_TP2.0,H1,PENDING,BOTH,0.03,2.0,433,30.484988452655887,0.8104630135834137,-12018.666666666672,-27.756735950731343,1.848101265822784,123.16807738815005,-0.9757939655736627,10,-2.0911191284440465,0.7022784810126581,FAIL,,37.5,2026,2003-05-05 – 2026-08-27,23.315423226100844,433/300 PASS,,BASE FAIL,strategies/scripts/python/GOLD/ND_ALL_CORREL_REV_f3s8_GOLD_H1_SL0.03_TP2.0.py,NOT PRESENT
ND_ALL_EMA_RIBBON_f8s21_GOLD_H1_SL0.025_TP2.0,H1,PENDING,BOTH,0.025,2.0,582,35.738831615120276,1.011941618752764,950.3999999999969,1.6329896907216441,1.8195488721804502,84.53329538986948,0.11242907254670845,12,0.13700903296177974,1.4042170644001308,FAIL,,50.0,2006,2003-05-05 – 2026-08-27,23.315423226100844,582/300 PASS,,BASE FAIL,strategies/scripts/python/GOLD/ND_ALL_EMA_RIBBON_f8s21_GOLD_H1_SL0.025_TP2.0.py,NOT PRESENT
ND_ALL_ENGULF_f21s55_GOLD_H1_SL0.025_TP2.5,H1,PENDING,BOTH,0.025,2.5,456,33.771929824561404,1.1674799581735795,10763.200000000003,23.60350877192983,2.289473684210526,32.7589413004401,3.2855762649006626,11,1.5225163311670376,1.3482456140350878,FAIL,,62.5,2015,2003-05-05 – 2026-08-27,23.315423226100844,456/300 PASS,,BASE FAIL,strategies/scripts/python/GOLD/ND_ALL_ENGULF_f21s55_GOLD_H1_SL0.025_TP2.5.py,NOT PRESENT
ND_ALL_ENGULF_f3s8_GOLD_H1_SL0.03_TP2.0,H1,PENDING,BOTH,0.03,2.0,416,37.01923076923077,1.0862885302927823,4762.666666666663,11.44871794871794,1.8481012658227853,39.78268489309495,1.1971707488986785,10,0.8059991720375708,1.2705696202531638,FAIL,,41.666666666666664,2012,2003-05-05 – 2026-08-27,23.315423226100844,416/300 PASS,,BASE FAIL,strategies/scripts/python/GOLD/ND_ALL_ENGULF_f3s8_GOLD_H1_SL0.03_TP2.0.py,NOT PRESENT
ND_ALL_ICHI_TK_f3s8_GOLD_H1_SL0.025_TP2.5,H1,PENDING,BOTH,0.025,2.5,464,30.81896551724138,1.0199212985735362,1360.7999999999993,2.9327586206896537,2.289473684210525,74.95414584782765,0.18155099822799708,18,0.19544956848588546,1.4490339773484349,FAIL,,41.666666666666664,2011,2003-05-05 – 2026-08-27,23.315423226100844,464/300 PASS,,BASE FAIL,strategies/scripts/python/GOLD/ND_ALL_ICHI_TK_f3s8_GOLD_H1_SL0.025_TP2.5.py,NOT PRESENT
ND_MTF_EMA_RIBBON_f8s21_GOLD_H1_SL0.03_TP2.0,H1,PENDING,BOTH,0.03,2.0,446,34.52914798206278,0.9746835443037976,-1557.333333333336,-3.491778774289991,1.848101265822785,68.12865497076027,-0.22858712446351961,12,-0.2584913247114853,1.15506329113924,FAIL,,41.666666666666664,2015,2003-05-05 – 2026-08-27,23.315423226100844,446/300 PASS,,BASE FAIL,strategies/scripts/python/GOLD/ND_MTF_EMA_RIBBON_f8s21_GOLD_H1_SL0.03_TP2.0.py,NOT PRESENT
