source_rank,config_hash,method,family,timeframe,entry_method,direction_mode,sl,tp,trades,win_rate_pct,profit_factor_net,net_profit,net_expectancy,max_dd_pct,sqn,history_years,sample_pass_v11,baseline_qualified_v11,target_candidate_v11,correlation_max,correlation_gate
16,b6b9846509416f33de34c9f18440b93b6fd59d6985bf939828e94dc3cd53aa96,BOLLINGER_REVERSION f26/s144 p1=1.2 p2=25.0 p3=1.0 off=2.5 exp=7,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,20.00,25.00,18,66.66666667,1.87566440,125.26008000,6.95889333,0.50900955,1.30985395,25.84257358,false,false,false,,N/A — belum pre-portfolio
17,f390cf4549aa9ef7d339eee72872b4dbe2507286d6b1686d9013dae5629cef9a,BOLLINGER_REVERSION f26/s34 p1=1.2 p2=30.0 p3=1.0 off=3.75 exp=5,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,9.50,20.50,66,50.00000000,1.27797901,124.97914500,1.89362341,1.45578901,0.97545169,25.84257358,false,false,false,,N/A — belum pre-portfolio
18,6d5a54b5037dc900f0da0a4c1ee528455230a238c27a9a0e43b5da9462634a20,BOLLINGER_REVERSION f26/s34 p1=2.2 p2=30.0 p3=1.0 off=1.5 exp=7,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,17.00,17.50,23,73.91304348,1.97900537,124.66764000,5.42033217,0.57229126,1.57194887,25.84257358,false,false,false,,N/A — belum pre-portfolio
19,6809b32a41ae68e6481efaf354a4b8dadae1532fc00e859163049c313707c724,TREND_EMA f89/s100 p1=66.0 p2=52.0 p3=1.0 off=4.5 exp=8,TREND_EMA,D1,LIMIT,LONG_ONLY,8.00,19.00,34,47.05882353,1.46297452,123.58266000,3.63478412,0.88569469,0.72046323,25.84257358,false,false,false,,N/A — belum pre-portfolio
20,2fa1a9174f79dfa0119494b0e61856dae73100a6a71beb4f172d16fef5cede53,TREND_EMA f89/s100 p1=66.0 p2=55.0 p3=1.0 off=3.25 exp=6,TREND_EMA,D1,LIMIT,LONG_ONLY,8.00,14.50,36,50.00000000,1.44697908,119.23585000,3.31210694,0.88622710,0.68993196,25.84257358,false,false,false,,N/A — belum pre-portfolio
21,0665ef480dcb586e8436bd6b481b6eb0679edc684ac8e9d374e43b3f6b41d73a,ZSCORE_REVERSION f26/s144 p1=1.0 p2=25.0 p3=1.0 off=5.0 exp=3,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,23.50,24.00,15,73.33333333,2.08367702,118.93572000,7.92904800,0.35043234,1.38407504,25.84257358,false,false,false,,N/A — belum pre-portfolio
22,466e93a411fcc227b6e44ea52230697abbd24ab4e7114854cd414e70237d4439,ZSCORE_REVERSION f26/s100 p1=1.0 p2=25.0 p3=1.0 off=2.0 exp=5,ZSCORE_REVERSION,D1,STOP,LONG_ONLY,23.00,25.00,21,66.66666667,1.61398260,116.49480000,5.54737143,0.60295474,1.07307658,25.84257358,false,false,false,,N/A — belum pre-portfolio
23,7966cd56fbe67fb796ff26d68d59b9e2810230f6557ac7376098bc59947db1dd,PRICE_STRUCTURE f55/s144 p1=66.0 p2=66.0 p3=1.0 off=2.5 exp=4,PRICE_STRUCTURE,D1,LIMIT,BOTH,25.00,25.00,145,61.37931034,1.06369835,112.27844000,0.77433407,3.69068323,0.33764445,25.84257358,false,false,false,,N/A — belum pre-portfolio
24,300e04187b19addea769ae74f0f0980f48467909637cb09b0b2d8e3182eed8d5,ZSCORE_REVERSION f26/s34 p1=1.0 p2=25.0 p3=1.0 off=1.5 exp=8,ZSCORE_REVERSION,D1,STOP,LONG_ONLY,19.50,24.50,22,63.63636364,1.59567353,112.25501000,5.10250045,0.52266118,1.07733900,25.84257358,false,false,false,,N/A — belum pre-portfolio
25,f6887e3a2059f22e99adf5c78ddc93cccb42b485762a95c00c96ebde47b8cba8,CANDLE_ENGULFING f50/s100 p1=55.0 p2=66.0 p3=1.0 off=3.0 exp=4,CANDLE_ENGULFING,D1,LIMIT,BOTH,19.00,24.00,205,56.58536585,1.05172743,110.22751000,0.53769517,3.95649121,0.35535076,25.84257358,false,false,false,,N/A — belum pre-portfolio
