source_rank,config_hash,method,family,timeframe,entry_method,direction_mode,sl,tp,trades,win_rate_pct,profit_factor_net,net_profit,net_expectancy,max_dd_pct,sqn,history_years,sample_pass_v11,baseline_qualified_v11,target_candidate_v11,correlation_max,correlation_gate
70,d080382b59b4002bdf0c1501761947a32ed9583d1c98c1405110bd6dd16124bd,PRICE_STRUCTURE f5/s100 p1=62.0 p2=66.0 p3=1.0 off=3.0 exp=4,PRICE_STRUCTURE,D1,LIMIT,SHORT_ONLY,17.00,24.00,37,56.75675676,1.20569624,70.80582000,1.91367081,0.69635986,0.55945233,25.84257358,false,false,false,,N/A — belum pre-portfolio
71,8b869315e33e42b127b4d2263c9edbecdfe673f8f3211652f9d990b3b4230a90,BOLLINGER_REVERSION f26/s144 p1=1.2 p2=30.0 p3=1.0 off=1.5 exp=7,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,16.50,17.50,61,62.29508197,1.15027572,70.23473000,1.15138902,1.21253277,0.52931596,25.84257358,false,false,false,,N/A — belum pre-portfolio
72,7ef99211a3c950d44a012b2af31e50fa8303635b8be963b428f81766349cc2f5,ZSCORE_REVERSION f34/s144 p1=1.3 p2=25.0 p3=1.0 off=0.75 exp=5,ZSCORE_REVERSION,D1,STOP,LONG_ONLY,20.50,22.50,6,83.33333333,3.87036271,69.95648000,11.65941333,0.24372000,1.61789000,25.84257358,false,false,false,,N/A — belum pre-portfolio
73,b1231f77337eb18acc55c359bccb8b91d89b4b3dff4dd4c3ede4dcad06914eb1,CANDLE_ENGULFING f26/s100 p1=66.0 p2=52.0 p3=1.0 off=2.0 exp=1,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,25.00,25.00,137,60.58394161,1.04254244,69.07702000,0.50421182,3.66497099,0.23685475,25.84257358,false,false,false,,N/A — belum pre-portfolio
74,706f1405698ff5c46532d524e60c97e4ada370caa8a080caf0609778bcd98f5b,ZSCORE_REVERSION f26/s55 p1=1.7 p2=30.0 p3=1.0 off=2.0 exp=6,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,12.50,14.00,66,65.15151515,1.17945242,68.84519000,1.04310894,1.18455815,0.63832049,25.84257358,false,false,false,,N/A — belum pre-portfolio
75,f4889764fae9cc869b9591c5a1c4f5ca85337a2d3a68e78304515215be06481c,BOLLINGER_REVERSION f3/s10 p1=2.6 p2=40.0 p3=1.0 off=1.5 exp=5,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,22.00,24.00,15,66.66666667,1.51721108,68.06084000,4.53738933,0.40858454,0.77709258,25.84257358,false,false,false,,N/A — belum pre-portfolio
76,a34a96fec4089dd4fff0a3b538b10a8128d88c856653d7e896313ff9d662eddb,CANDLE_ENGULFING f21/s89 p1=55.0 p2=55.0 p3=1.0 off=5.0 exp=7,CANDLE_ENGULFING,D1,LIMIT,BOTH,18.00,23.50,193,54.92227979,1.03385969,67.62371000,0.35038192,2.77968987,0.22118469,25.84257358,false,false,false,,N/A — belum pre-portfolio
77,46177d7550510f0568dd84de209bc2e4111eeb9d6c3bcfa3c3697ebbeb7e02c8,KELTNER_BREAKOUT f10/s21 p1=2.8 p2=55.0 p3=1.0 off=4.0 exp=5,KELTNER_BREAKOUT,D1,LIMIT,SHORT_ONLY,21.00,25.00,23,60.86956522,1.28812761,67.42174000,2.93138000,0.95935718,0.58826673,25.84257358,false,false,false,,N/A — belum pre-portfolio
78,240be9ae9a6b4f4c4563bb8de4b810b82b688e6085f0257bf0d901e34adbb417,ZSCORE_REVERSION f34/s100 p1=1.0 p2=25.0 p3=1.0 off=0.5 exp=8,ZSCORE_REVERSION,D1,STOP,LONG_ONLY,15.00,24.50,7,71.42857143,2.76446943,66.58176000,9.51168000,0.37734720,1.29805707,25.84257358,false,false,false,,N/A — belum pre-portfolio
79,92f3b26f50a4a5a211fe6e2a2cce04a46aecc763ebf91f9b0825ab07e5c3cdc9,ZSCORE_REVERSION f34/s100 p1=1.7 p2=25.0 p3=1.0 off=3.75 exp=7,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,15.00,24.50,5,80.00000000,4.43041174,64.71952000,12.94390400,0.18866400,1.62756579,25.84257358,false,false,false,,N/A — belum pre-portfolio
80,6a56cd9d0b403c69eccf9ca1f0356bf89fbec4739f68e3831ed3db01ec2fc678,PRICE_STRUCTURE f5/s100 p1=55.0 p2=52.0 p3=1.0 off=4.75 exp=5,PRICE_STRUCTURE,D1,LIMIT,LONG_ONLY,18.00,18.00,143,62.93706294,1.04867375,64.52330500,0.45121192,3.57959899,0.23726513,25.84257358,false,false,false,,N/A — belum pre-portfolio
81,1c1b4f486bab82b0668b51a9dd53bf6cd0760734a784654801a3bd44bfb33ca9,BOLLINGER_REVERSION f34/s89 p1=1.8 p2=25.0 p3=1.0 off=4.5 exp=5,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,15.50,24.50,5,80.00000000,4.31723682,64.23232000,12.84646400,0.19363200,1.59528751,25.84257358,false,false,false,,N/A — belum pre-portfolio
82,b4e29578a22e3391e92427ea80f0fbe0e3cde450accde952e7b8ea7c0e901ab2,DONCHIAN f89/s100 p1=66.0 p2=66.0 p3=1.0 off=4.5 exp=5,DONCHIAN,D1,LIMIT,LONG_ONLY,10.50,24.00,137,45.25547445,1.04863316,61.69060000,0.45029635,3.51564028,0.23812631,25.84257358,false,false,false,,N/A — belum pre-portfolio
83,cd357ee038e6b647c5a76bab77e45cee771519eadc8c20c2831b6881855461bf,DONCHIAN f10/s100 p1=55.0 p2=62.0 p3=1.0 off=4.5 exp=8,DONCHIAN,D1,LIMIT,SHORT_ONLY,21.00,23.00,38,60.52631579,1.15775985,60.33780000,1.58783684,0.74581867,0.43836193,25.84257358,false,false,false,,N/A — belum pre-portfolio
84,52827d9ba977487a940d566c95dd357a82929bf2206c5cabe40d52a57579b74c,ZSCORE_REVERSION f26/s50 p1=0.7 p2=25.0 p3=1.0 off=0.75 exp=6,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,15.00,24.00,24,54.16666667,1.28796969,59.97736000,2.49905667,0.57616440,0.60707584,25.84257358,false,false,false,,N/A — belum pre-portfolio
85,5544077c1f82638b4bbc81714ef4e18a09ce91ce2a51a4269766d5b258866322,ZSCORE_REVERSION f14/s55 p1=2.7 p2=25.0 p3=1.0 off=4.0 exp=7,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,7.00,17.00,23,43.47826087,1.39957206,59.90704000,2.60465391,0.74956607,0.55988940,25.84257358,false,false,false,,N/A — belum pre-portfolio
86,35f83ebe02071b7b80b9050fa1d1a097e4b66160677f80a4a07b2d2e229f27d6,BOLLINGER_REVERSION f26/s100 p1=3.0 p2=30.0 p3=1.0 off=1.75 exp=7,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,20.50,25.00,7,71.42857143,2.19071795,59.12972000,8.44710286,0.49437564,0.98274285,25.84257358,false,false,false,,N/A — belum pre-portfolio
87,0c3d15e1cfda0edba41d1c3f51b23c5109b25a20ad2f7300d4112d40ee17da66,DONCHIAN f10/s89 p1=66.0 p2=52.0 p3=1.0 off=3.0 exp=3,DONCHIAN,D1,LIMIT,SHORT_ONLY,18.00,24.50,41,56.09756098,1.14422287,58.46402000,1.42595171,0.77539443,0.42438358,25.84257358,false,false,false,,N/A — belum pre-portfolio
88,023f207d77fd3f3d3f9a80ccd69d310791542a7c1232b849ea76585214594ee0,BOLLINGER_REVERSION f26/s34 p1=1.8 p2=25.0 p3=1.0 off=1.75 exp=8,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,15.00,25.00,12,58.33333333,1.61235634,57.70464000,4.80872000,0.37763648,0.79660340,25.84257358,false,false,false,,N/A — belum pre-portfolio
89,065d5cb99288f4e6473aab88ea02258468746eb5a7db0ffade56a9f2ee5e5728,BOLLINGER_REVERSION f34/s89 p1=1.2 p2=25.0 p3=1.0 off=3.0 exp=4,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,8.50,22.50,8,62.50000000,2.54279310,57.26848000,7.15856000,0.37120000,1.25181653,25.84257358,false,false,false,,N/A — belum pre-portfolio
90,25fe72a828f75790f4f10ba7c6e51e7fca48c1a61b2cacd64f94d8d8bcf99a79,ZSCORE_REVERSION f34/s100 p1=1.7 p2=25.0 p3=1.0 off=3.25 exp=3,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,21.50,24.00,5,80.00000000,3.21728870,56.22512000,11.24502400,0.25357600,1.22883587,25.84257358,false,false,false,,N/A — belum pre-portfolio
91,1c54e6bb76f41f889d3c0921df5630d0a753668cec0d92289fdf40539e4574a6,ZSCORE_REVERSION f34/s55 p1=0.7 p2=25.0 p3=1.0 off=0.5 exp=7,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,10.50,23.50,8,62.50000000,2.30371547,56.22080000,7.02760000,0.43123520,1.12153337,25.84257358,false,false,false,,N/A — belum pre-portfolio
92,e26a62cf82366b0df8f7b7affe345c23f1ff24d44d067dcb49cb552cd55ecd5a,DONCHIAN f34/s100 p1=62.0 p2=58.0 p3=1.0 off=4.0 exp=8,DONCHIAN,D1,LIMIT,SHORT_ONLY,19.00,22.50,39,58.97435897,1.14896775,55.91086000,1.43361179,0.73020178,0.42234472,25.84257358,false,false,false,,N/A — belum pre-portfolio
93,f234f59cdf576c1cbd529914c78625557d6bf763118085ec52e8d7ff843a2ef6,DONCHIAN f10/s89 p1=66.0 p2=55.0 p3=1.0 off=4.0 exp=6,DONCHIAN,D1,LIMIT,BOTH,16.00,18.00,195,60.51282051,1.03273284,55.55607000,0.28490292,2.80754841,0.19462031,25.84257358,false,false,false,,N/A — belum pre-portfolio
94,68127c2f631a13dd1c36460c71b6a27723cc525a9e0e1b60eae3fbcea67b558a,ATR_BREAKOUT f5/s8 p1=2.2 p2=55.0 p3=1.0 off=2.75 exp=8,ATR_BREAKOUT,D1,LIMIT,BOTH,18.00,20.00,31,64.51612903,1.21110003,55.30911000,1.78416484,0.58846812,0.50838548,25.84257358,false,false,false,,N/A — belum pre-portfolio
95,e4370864775f30d02166268412a902e377cf5a1a6091741b24e44601ca4dff59,ZSCORE_REVERSION f26/s100 p1=2.1 p2=25.0 p3=1.0 off=4.25 exp=1,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,21.00,25.00,11,63.63636364,1.54709680,54.56831000,4.96075545,0.49368644,0.69170730,25.84257358,false,false,false,,N/A — belum pre-portfolio
96,00313a47ef419c4fdeb044a951b42e4bfa6c06561089dbff2ff8e58b55962a7f,PRICE_STRUCTURE f10/s144 p1=52.0 p2=52.0 p3=1.0 off=3.5 exp=4,PRICE_STRUCTURE,D1,LIMIT,SHORT_ONLY,18.00,24.00,22,59.09090909,1.25494468,52.88142000,2.40370091,0.46634095,0.51781407,25.84257358,false,false,false,,N/A — belum pre-portfolio
97,65c2f9123308fb20374925b3f996c748ced09233a144e65e5a13dda5239d73df,ZSCORE_REVERSION f26/s144 p1=1.3 p2=25.0 p3=1.0 off=4.0 exp=5,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,16.50,25.00,16,56.25000000,1.37005397,52.61374000,3.28835875,0.80242348,0.61002535,25.84257358,false,false,false,,N/A — belum pre-portfolio
98,71f80741d0cb352ec7c29010907d5e239446daa5a322f8ed3b4351f387912173,DONCHIAN f55/s100 p1=52.0 p2=55.0 p3=1.0 off=5.0 exp=7,DONCHIAN,D1,LIMIT,BOTH,11.00,24.00,165,46.06060606,1.03441019,52.45705000,0.31792152,3.27397872,0.19122344,25.84257358,false,false,false,,N/A — belum pre-portfolio
99,af38d22a07e332ddf400f07f15b259178e7bd05e024907c24ed69cb0f96d5f81,ZSCORE_REVERSION f34/s100 p1=1.0 p2=25.0 p3=1.0 off=2.75 exp=4,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,12.00,15.00,7,85.71428571,4.28886445,52.16560000,7.45222857,0.15843721,1.91762044,25.84257358,false,false,false,,N/A — belum pre-portfolio
100,1f1c0a83ff07b3a5bf46109c4193d0631311fc83d8deda936e4974b055d17f6e,ZSCORE_REVERSION f34/s144 p1=1.3 p2=25.0 p3=1.0 off=4.5 exp=8,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,9.00,23.00,6,66.66666667,3.01708115,51.88320000,8.64720000,0.25721920,1.27132026,25.84257358,false,false,false,,N/A — belum pre-portfolio
101,4c74aed3dd4efec0158e15d26904885225a349a6721e2df4746839268b26fcfc,DONCHIAN f3/s100 p1=66.0 p2=66.0 p3=1.0 off=3.0 exp=3,DONCHIAN,D1,LIMIT,SHORT_ONLY,19.50,25.00,37,56.75675676,1.13473545,51.77707000,1.39938027,0.81638453,0.37728407,25.84257358,false,false,false,,N/A — belum pre-portfolio
102,1a91cbda8cf0437bfa4f33c80c53106ca883fe21db434ebba6d2ed11c6c723c0,PRICE_STRUCTURE f34/s100 p1=66.0 p2=55.0 p3=1.0 off=4.75 exp=7,PRICE_STRUCTURE,D1,LIMIT,BOTH,16.50,24.00,168,52.97619048,1.02886712,51.61135500,0.30721045,3.28818689,0.16748087,25.84257358,false,false,false,,N/A — belum pre-portfolio
103,41b1c27b2d55de79a0a5e937ae2f9cd076a7728ec1824dc98f4e2a931f731f5c,DONCHIAN f10/s144 p1=66.0 p2=66.0 p3=1.0 off=2.25 exp=6,DONCHIAN,D1,LIMIT,SHORT_ONLY,23.50,24.50,24,62.50000000,1.20068756,51.53027000,2.14709458,0.58397780,0.43190046,25.84257358,false,false,false,,N/A — belum pre-portfolio
104,72066bd4e87dbc7c6b984b610064a0757d8fbceba388e3e84e311059fc252c4b,ZSCORE_REVERSION f21/s89 p1=2.7 p2=25.0 p3=1.0 off=2.5 exp=2,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,15.00,24.50,12,58.33333333,1.51985663,51.46564000,4.28880333,0.41538224,0.69650663,25.84257358,false,false,false,,N/A — belum pre-portfolio
105,dd1b536cda03664178a3c583ecf9e632ae206c68f12ee3b1fda8518268aeaa27,BOLLINGER_REVERSION f34/s144 p1=3.0 p2=40.0 p3=1.0 off=1.0 exp=3,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,17.50,19.50,8,75.00000000,2.13616554,49.63171000,6.20396375,0.28554891,1.01244363,25.84257358,false,false,false,,N/A — belum pre-portfolio
106,9ec59b5293dbbb6c534a56ca1716612f100a700b82cb126b8a4bf03999febe99,CANDLE_ENGULFING f50/s89 p1=66.0 p2=58.0 p3=1.0 off=4.75 exp=6,CANDLE_ENGULFING,D1,LIMIT,LONG_ONLY,20.50,21.50,139,61.15107914,1.03573506,49.23786500,0.35422924,1.86244085,0.19974913,25.84257358,false,false,false,,N/A — belum pre-portfolio
107,6f15b5503020d0c96dee6e7e656c3b625a6f630ebfde6bb123d0b79f1bde528c,DONCHIAN f10/s100 p1=55.0 p2=66.0 p3=1.0 off=5.0 exp=1,DONCHIAN,D1,LIMIT,SHORT_ONLY,15.00,22.50,34,55.88235294,1.16698486,48.92081000,1.43884735,0.75605128,0.44160027,25.84257358,false,false,false,,N/A — belum pre-portfolio
108,fb51570efb73e0223b88e2fd810408c3097b986940515dd607d3a064003f62bf,ZSCORE_REVERSION f26/s34 p1=2.1 p2=30.0 p3=1.0 off=1.0 exp=5,ZSCORE_REVERSION,D1,STOP,LONG_ONLY,15.00,23.00,27,55.55555556,1.20699173,48.37082000,1.79151185,1.38837653,0.47946974,25.84257358,false,false,false,,N/A — belum pre-portfolio
109,0ed11ee6396bb6a0f99d51a40a66f4155c631fb218b0f9393f29e74860e423c5,BOLLINGER_REVERSION f26/s100 p1=3.0 p2=30.0 p3=1.0 off=1.0 exp=3,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,8.00,23.50,9,55.55555556,1.95712032,47.90012000,5.32223556,0.13770321,0.94186619,25.84257358,false,false,false,,N/A — belum pre-portfolio
110,c3ddbedc5cc5ee84790da15f5e0aa625e142e0355a3aced8cf6d08c3231fc5b6,PRICE_STRUCTURE f100/s144 p1=66.0 p2=52.0 p3=1.0 off=1.25 exp=8,PRICE_STRUCTURE,D1,LIMIT,SHORT_ONLY,20.50,24.00,18,61.11111111,1.27675848,47.43308000,2.63517111,0.36109218,0.50182212,25.84257358,false,false,false,,N/A — belum pre-portfolio
111,ca937ab06f8c54a96c78ad728f8fd97f741a39c1edf32de085b90fa28c47af58,DONCHIAN f26/s100 p1=55.0 p2=66.0 p3=1.0 off=2.75 exp=7,DONCHIAN,D1,LIMIT,SHORT_ONLY,19.00,24.50,37,56.75675676,1.12504024,47.29824000,1.27833081,0.73136703,0.35146749,25.84257358,false,false,false,,N/A — belum pre-portfolio
112,f0d561556a2e17a1af96a31292fd7c84c684ef51d53190c9a2f52b75c829115c,DONCHIAN f5/s144 p1=66.0 p2=52.0 p3=1.0 off=2.25 exp=6,DONCHIAN,D1,LIMIT,SHORT_ONLY,24.00,24.50,24,62.50000000,1.17997617,47.02337000,1.95930708,0.59896602,0.39017145,25.84257358,false,false,false,,N/A — belum pre-portfolio
113,35a76cbe87d99d0dd9c337f5f5330b4b8f425d46762231cc6dde11325a27e530,ZSCORE_REVERSION f34/s55 p1=1.7 p2=25.0 p3=1.0 off=0.5 exp=5,ZSCORE_REVERSION,D1,STOP,LONG_ONLY,21.00,21.50,5,80.00000000,2.86946732,46.49440000,9.29888000,0.24870400,1.08852758,25.84257358,false,false,false,,N/A — belum pre-portfolio
114,de2dda3fb2242f2cb2f8a4c3c6c4ccfee56b67d9f352e06492ed249800843360,BOLLINGER_REVERSION f26/s100 p1=2.2 p2=25.0 p3=1.0 off=1.25 exp=2,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,12.50,23.00,15,53.33333333,1.39853226,46.28560000,3.08570667,0.50200384,0.62555045,25.84257358,false,false,false,,N/A — belum pre-portfolio
115,34fc9e83ee57b3d2719df054fed4f3f47b25791ff5f4ba36d0e7dd6de9709af2,BOLLINGER_REVERSION f5/s10 p1=2.6 p2=30.0 p3=1.0 off=1.0 exp=2,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,16.50,23.00,15,60.00000000,1.37058040,46.07684000,3.07178933,0.47943663,0.59059138,25.84257358,false,false,false,,N/A — belum pre-portfolio
116,7bd8483aa8f5e9e7f2803299040a818a856b0119f1d21fd88bec2ebebdcfca51,ZSCORE_REVERSION f34/s144 p1=1.3 p2=25.0 p3=1.0 off=0.75 exp=7,ZSCORE_REVERSION,D1,STOP,LONG_ONLY,15.50,20.50,7,71.42857143,2.17749038,45.60976000,6.51568000,0.38734720,0.97493671,25.84257358,false,false,false,,N/A — belum pre-portfolio
117,6933059a60ff9272a2c2728102f6af43847b5493e234a1d29f56968c4340283f,BOLLINGER_REVERSION f34/s100 p1=1.2 p2=25.0 p3=1.0 off=2.25 exp=6,BOLLINGER_REVERSION,D1,STOP,LONG_ONLY,15.50,20.50,7,71.42857143,2.17633140,45.57616000,6.51088000,0.38744320,0.97421849,25.84257358,false,false,false,,N/A — belum pre-portfolio
118,18483513a6f683eb77a18e8819c89f857e6299c8f0d6c96a74b49ec0e6da8d4f,PRICE_STRUCTURE f3/s144 p1=66.0 p2=66.0 p3=1.0 off=2.25 exp=5,PRICE_STRUCTURE,D1,LIMIT,SHORT_ONLY,20.00,25.00,24,58.33333333,1.18270403,45.51827000,1.89659458,0.50628724,0.39994036,25.84257358,false,false,false,,N/A — belum pre-portfolio
119,633e8aab499f1c7f8fad2330cd546cb0915a13187b3a8948dbbe85ab9a779fc4,DONCHIAN f34/s144 p1=66.0 p2=66.0 p3=1.0 off=4.5 exp=4,DONCHIAN,D1,LIMIT,SHORT_ONLY,22.50,24.50,21,61.90476190,1.20438314,45.28686000,2.15651714,0.55561767,0.41023848,25.84257358,false,false,false,,N/A — belum pre-portfolio
120,4cc0c8a3903277d784f650749d8e7941d37507f9eacccbb2f4f80bd143693dad,ZSCORE_REVERSION f34/s144 p1=0.7 p2=25.0 p3=1.0 off=4.5 exp=7,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,20.50,21.00,5,80.00000000,2.85844173,45.26272000,9.05254400,0.24355200,1.08384293,25.84257358,false,false,false,,N/A — belum pre-portfolio
121,5b680c206f752eda381a480d74a2ad22604894829674d93522e0c5dddba702e9,ZSCORE_REVERSION f34/s89 p1=0.7 p2=25.0 p3=1.0 off=3.0 exp=6,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,14.00,14.00,7,85.71428571,3.47428500,44.18400000,6.31200000,0.17839289,1.56672245,25.84257358,false,false,false,,N/A — belum pre-portfolio
122,ea11651f6d6d016f352441c283d057a0d5d5a12648fef9bc82c723cbcad47a5a,DONCHIAN f55/s144 p1=66.0 p2=52.0 p3=1.0 off=4.0 exp=8,DONCHIAN,D1,LIMIT,SHORT_ONLY,16.00,22.50,25,56.00000000,1.19380748,44.16564000,1.76662560,0.62286300,0.42929962,25.84257358,false,false,false,,N/A — belum pre-portfolio
123,74ee2ac61bd85ea1b59d210f014fc9446769ca62f85077562287ed5d1a1de0d3,BOLLINGER_REVERSION f7/s14 p1=3.0 p2=30.0 p3=1.0 off=3.5 exp=7,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,22.50,24.00,7,71.42857143,1.81678464,43.57056000,6.22436571,0.26800000,0.73243211,25.84257358,false,false,false,,N/A — belum pre-portfolio
124,985edcd61c08cc2046b1a4eea33d8b525cb12795e2bc5804de32f76ecbd142e4,ZSCORE_REVERSION f26/s50 p1=1.3 p2=30.0 p3=1.0 off=0.5 exp=4,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,13.00,20.00,70,52.85714286,1.07799802,43.53224000,0.62188914,1.20032219,0.31120181,25.84257358,false,false,false,,N/A — belum pre-portfolio
125,11b2e21422507e4fd5d5cac4a894bd0d7c91c5d66a9a700f88250a024371c47d,BOLLINGER_REVERSION f50/s55 p1=2.6 p2=35.0 p3=1.0 off=4.0 exp=7,BOLLINGER_REVERSION,D1,STOP,LONG_ONLY,19.50,25.00,2,100.00000000,0.00000000,42.72544000,21.36272000,0.00000000,261.28571429,25.84257358,false,false,false,,N/A — belum pre-portfolio
126,8d0b3be3888af7a7779648227001283cc1c0127a9c5165eb841e8c235aac452b,ZSCORE_REVERSION f89/s144 p1=1.0 p2=30.0 p3=1.0 off=2.25 exp=8,ZSCORE_REVERSION,D1,STOP,SHORT_ONLY,22.50,24.50,2,100.00000000,0.00000000,42.54196000,21.27098000,0.00000000,35.47410026,25.84257358,false,false,false,,N/A — belum pre-portfolio
127,a9190526d5cea7b21111b3e90351a44650b4dc3746dd5a17973bd3d9eb3bef61,ZSCORE_REVERSION f89/s144 p1=0.7 p2=30.0 p3=1.0 off=1.75 exp=3,ZSCORE_REVERSION,D1,STOP,SHORT_ONLY,17.50,24.50,2,100.00000000,0.00000000,42.54066000,21.27033000,0.00000000,35.51151143,25.84257358,false,false,false,,N/A — belum pre-portfolio
128,29e738386b1d1eaec439b4d1eb0865a1a1a813f48557fc80427f06cefe3ab784,ZSCORE_REVERSION f34/s100 p1=1.7 p2=25.0 p3=1.0 off=1.5 exp=8,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,10.50,25.00,7,57.14285714,1.98407433,42.43360000,6.06194286,0.43120320,0.83900217,25.84257358,false,false,false,,N/A — belum pre-portfolio
129,eca4e498e39e48012813dae7ef832ddbdbb1bead9344c0ab1aeda6e12ee76b69,BOLLINGER_REVERSION f34/s50 p1=1.2 p2=25.0 p3=1.0 off=2.75 exp=5,BOLLINGER_REVERSION,D1,LIMIT,LONG_ONLY,13.00,13.50,7,85.71428571,3.50192174,42.18160000,6.02594286,0.16843536,1.57958812,25.84257358,false,false,false,,N/A — belum pre-portfolio
130,7e37b1f824e513a66e30645e2a2d0124f667084adbd092bf18415d095b8d797b,DONCHIAN f26/s89 p1=55.0 p2=52.0 p3=1.0 off=4.0 exp=3,DONCHIAN,D1,LIMIT,SHORT_ONLY,16.00,17.00,44,63.63636364,1.12777884,41.84532000,0.95103000,1.19017545,0.38158979,25.84257358,false,false,false,,N/A — belum pre-portfolio
131,e3cfe1815631cf8bd655fd0c71ca153d8882083a8a6e560b5054acac3c254d31,BOLLINGER_REVERSION f89/s144 p1=1.8 p2=30.0 p3=1.0 off=0.5 exp=3,BOLLINGER_REVERSION,D1,STOP,SHORT_ONLY,23.00,24.00,2,100.00000000,0.00000000,41.53856000,20.76928000,0.00000000,34.68947087,25.84257358,false,false,false,,N/A — belum pre-portfolio
132,8891f393841d88401fe57bc76f59b11e22fdf85b7b640585dafaac0b686d19ad,ZSCORE_REVERSION f26/s50 p1=1.7 p2=25.0 p3=1.0 off=1.5 exp=2,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,12.50,23.50,20,50.00000000,1.25085929,41.24480000,2.06224000,0.50225978,0.48479924,25.84257358,false,false,false,,N/A — belum pre-portfolio
133,efd7fc473f2a963d1ee0e09abe3eea802d70c3ff4e6ffc13ace04985088f7095,ZSCORE_REVERSION f34/s55 p1=2.7 p2=40.0 p3=1.0 off=1.75 exp=7,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,11.50,23.50,28,42.85714286,1.15209871,40.96398000,1.46299929,1.17209356,0.31299626,25.84257358,false,false,false,,N/A — belum pre-portfolio
134,33cb34d5d7a59d25387ad59cfea91084f2af7ea4fd103d42cf4abaee8c32e918,DONCHIAN f14/s100 p1=58.0 p2=66.0 p3=1.0 off=3.5 exp=5,DONCHIAN,D1,LIMIT,SHORT_ONLY,14.50,25.00,36,50.00000000,1.11967587,40.87207000,1.13533528,0.59804934,0.33177487,25.84257358,false,false,false,,N/A — belum pre-portfolio
135,cad37b3636af1e06a6b160a4d27387d9df840953bb2e79737cb0bf364aeb2539,MOMENTUM_RSI_ROC f89/s100 p1=0.8 p2=66.0 p3=1.0 off=3.0 exp=2,MOMENTUM_RSI_ROC,D1,LIMIT,BOTH,13.00,25.00,36,41.66666667,1.09916663,40.82814000,1.13411500,1.55620850,0.21497031,25.84257358,false,false,false,,N/A — belum pre-portfolio
136,74e8824d8b4ab1a2adb81f3b01d8efa8f6268b0a1cf0bef74a5f73f5ec1af68f,ATR_BREAKOUT f5/s10 p1=2.8 p2=55.0 p3=1.0 off=3.25 exp=5,ATR_BREAKOUT,D1,LIMIT,SHORT_ONLY,14.50,25.00,2,100.00000000,0.00000000,39.98320000,19.99160000,0.00000000,20.50504636,25.84257358,false,false,false,,N/A — belum pre-portfolio
137,9c64e8127b9b115a6a11dd9f870aebf7967b26202604d7c9b1a6b676460f86fb,ATR_BREAKOUT f5/s10 p1=2.8 p2=55.0 p3=1.0 off=2.75 exp=1,ATR_BREAKOUT,D1,STOP,BOTH,21.50,25.00,7,71.42857143,1.66901828,38.83421000,5.54774429,0.32271224,0.61423634,25.84257358,false,false,false,,N/A — belum pre-portfolio
138,032b9db3b06bb14799248f903b60b09acbc5957404003b1328f9e2a75ac7f87c,ATR_BREAKOUT f3/s8 p1=2.2 p2=55.0 p3=1.0 off=1.5 exp=6,ATR_BREAKOUT,D1,STOP,BOTH,12.50,25.00,17,52.94117647,1.26466530,38.69584000,2.27622588,0.66273137,0.46597953,25.84257358,false,false,false,,N/A — belum pre-portfolio
139,2577a96acfe2c4bff6adc415f97c3de2128a18c8036b641e6355f7306a19846f,ZSCORE_REVERSION f34/s144 p1=0.7 p2=25.0 p3=1.0 off=4.25 exp=2,ZSCORE_REVERSION,D1,LIMIT,LONG_ONLY,8.50,22.50,7,57.14285714,2.03743452,38.49712000,5.49958857,0.37108000,0.87048743,25.84257358,false,false,false,,N/A — belum pre-portfolio
