Date,Open,High,Low,Close,Volume
2025-01-01T23:00:00Z,2625.07,2625.675,2621.775,2623.815,3107.0
2025-01-02T00:00:00Z,2623.81,2627.96,2622.765,2625.42,5103.0
2025-01-02T01:00:00Z,2625.415,2634.56,2623.895,2633.045,22630.0
2025-01-02T02:00:00Z,2633.03,2636.59,2632.365,2634.775,14712.0
2025-01-02T03:00:00Z,2634.835,2635.475,2632.315,2633.715,10112.0
2025-01-02T04:00:00Z,2633.71,2634.29,2631.18,2634.095,6541.0
2025-01-02T05:00:00Z,2634.075,2636.55,2633.14,2634.08,10044.0
2025-01-02T06:00:00Z,2634.02,2635.425,2631.365,2634.27,13232.0
2025-01-02T07:00:00Z,2634.265,2636.1,2633.065,2636.06,11690.0
2025-01-02T08:00:00Z,2636.075,2637.815,2631.145,2636.55,16352.0
2025-01-02T09:00:00Z,2636.535,2640.0,2636.085,2636.2,14363.0
2025-01-02T10:00:00Z,2636.195,2646.38,2632.805,2642.765,20550.0
2025-01-02T11:00:00Z,2642.77,2644.685,2640.35,2641.98,12281.0
2025-01-02T12:00:00Z,2641.995,2646.49,2640.395,2643.435,16224.0
2025-01-02T13:00:00Z,2643.425,2647.365,2636.155,2643.005,30963.0
2025-01-02T14:00:00Z,2642.935,2651.11,2640.42,2647.625,31550.0
2025-01-02T15:00:00Z,2647.58,2655.995,2645.235,2654.17,41190.0
2025-01-02T16:00:00Z,2654.175,2660.535,2650.085,2659.355,32669.0
2025-01-02T17:00:00Z,2659.405,2660.605,2652.595,2656.625,13736.0
2025-01-02T18:00:00Z,2656.64,2658.91,2653.87,2655.455,11793.0
2025-01-02T19:00:00Z,2655.44,2657.17,2653.86,2654.75,14152.0
2025-01-02T20:00:00Z,2654.815,2660.565,2654.18,2659.84,13275.0
2025-01-02T21:00:00Z,2659.77,2660.25,2656.61,2658.23,1927.0
2025-01-02T23:00:00Z,2657.82,2659.655,2657.745,2658.44,3102.0
2025-01-03T00:00:00Z,2658.485,2661.22,2658.42,2660.845,6452.0
2025-01-03T01:00:00Z,2660.85,2662.645,2656.76,2659.575,15811.0
2025-01-03T02:00:00Z,2659.53,2664.135,2656.305,2662.565,16444.0
2025-01-03T03:00:00Z,2662.57,2665.405,2661.35,2662.355,11262.0
